SYSNO,Author,Advisor,Title_Pt,Subtitle_pt,Title_En,Subtitle_en,Type,Field,Year,Keywords,Subject(Library)
708372,"Maria Filho, Valter Jose","Silva, Franklin Leopoldo e",Reflexão e os dias,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1988,NA,LITERATURA|CRÍTICA
708798,"Silva, Oswaldo Porchat de Assis Pereira da","Prado Jr., Bento",Nocao aristotelica da ciencia,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1967,NA,NA
708807,"Guidarini, Mario","Knoll, Victor",Diferenca nos textos dramaturgicos de jorge andrade,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1979,NA,NA
708809,"Telles, Vera Stela","Berlinck, Marilena de Souza Chaui","Metafora, transferencia",a constituicao do campo psicanalitico,NA,NA,Dissertação (Mestrado),FILOSOFIA,1979,NA,NA
708810,"Ulhoa, Joel Pimentel de","Berlinck, Marilena de Souza Chaui",Do simbolo aos fatos,estudo da utopia de rousseau,NA,NA,Tese (Doutorado),FILOSOFIA,1979,NA,NA
709465,"Fadul, Anamaria","Franco, Maria Sylvia de Carvalho",O futuro no presente,perspectivas para uma teoria dos meios de comunicação de massa,NA,NA,Tese (Doutorado),FILOSOFIA,1980,NA,MEIOS DE COMUNICAÇÃO DE MASSA|TEORIA DA COMUNICAÇÃO
709466,"Felício, Vera Lúcia Gonçalves","Berlinck, Marilena de Souza Chaui",Procura da lucidez em artaud,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1980,NA,NA
709594,"Moraes, Eliane Robert","Ribeiro, Renato Janine",Felicidade libertina,sade,NA,NA,Dissertação (Mestrado),FILOSOFIA,1989,NA,FILOSOFIA
709667,"Cacciola, Maria Lúcia Mello de Oliveira","Torres Filho, Rubens Rodrigues",Schopenhauer e a questao do dogmatismo,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1990,NA,FILOSOFIA CONTEMPORÂNEA|DOGMATISMO
709937,"Arantes, Urias Correa","Arantes, Otilia Beatriz Fiori",Artaud,teatro e cultura,NA,NA,Dissertação (Mestrado),FILOSOFIA,1981,NA,NA
709938,"Camello, Maurilio Jose de Oliveira","Sousa, Jose Cavalcante de",Dimensao etica da sabedoria em aristoteles,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1981,NA,NA
709939,"Gonçalves, Camila Salles","Silva, Oswaldo Porchat de Assis Pereira da",Batalha da palavra no mito behaviorista,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1980,NA,NA
709940,"Santos, Luiz Henrique Lopes dos","Silva, Oswaldo Porchat de Assis Pereira da",Verdade e método,um ensaio sobre a lógica segundo Frege,NA,NA,Tese (Doutorado),FILOSOFIA,1980,NA,LÓGICA|FILOSOFIA CONTEMPORÂNEA
709941,"Silva, Franklin Leopoldo e","Berlinck, Marilena de Souza Chaui",Elementos para a imagem moral do homem na filosofia francesa do final do seculo xix e inicio do seculo xx,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1980,NA,NA
710023,"Fausto, Ruy",NA,"Marx, lógica, história",NA,NA,NA,Tese (Livre Docência),FILOSOFIA,1989,NA,LÓGICA|HISTÓRIA
710051,"Maar, Wolfgang Leo","Arantes, Paulo Eduardo",Coracao e as almas,introducao a leitura da teoria da politica em lukacs: 1918-1929,NA,NA,Dissertação (Mestrado),FILOSOFIA,1980,NA,NA
710529,"Terra, Ricardo Ribeiro","Berlinck, Marilena de Souza Chaui",Politica e historia na filosofia kantiana,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1980,NA,NA
710566,"Leme, Murilo Otavio Rodrigues Paes","Lacey, Hugh Matthew",Reconstrucao do conhecimento na filosofia de john dewey,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1970,NA,NA
710576,"Mezan, Renato","Berlinck, Marilena de Souza Chaui","Freud, pensador da cultura",NA,NA,NA,Tese (Doutorado),FILOSOFIA,1981,NA,NA
710931,"Matos, Olgária Chain Féres",NA,Crítica a razão insuficiente,NA,NA,NA,Tese (Livre Docência),FILOSOFIA,1991,NA,FILOSOFIA|ILUMINISMO
710971,"Kuntz, Rolf Nelson","Monteiro, João Paulo",Capitalismo e natureza,ensaio sobre a filosofia econômica de François Quesnay,NA,NA,Tese (Doutorado),FILOSOFIA,1981,NA,NA
711049,"Cacciola, Maria Lúcia Mello de Oliveira","Torres Filho, Rubens Rodrigues",Critica da razao no pensamento de schopenhauer,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1981,NA,NA
711050,"Moraes, Reginaldo Carmello Correa de","Franco, Maria Sylvia de Carvalho",Fenix tropical,nota critica sobre o dualismo e a teoria da dependencia,NA,NA,Dissertação (Mestrado),FILOSOFIA,1981,NA,NA
711177,"Hernandes, Isabel Pimenta","Monteiro, João Paulo",Tabula rasa e inatismo disposicional em locke,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1982,NA,NA
711652,"Munari, Luiz Americo Souza","Kossovitch, Leon",Estromaturgia,sobre a tecelagem oriental,NA,NA,Tese (Doutorado),FILOSOFIA,1996,NA,FILOSOFIA|TAPEÇARIA|INDÚSTRIA TÊXTIL
711935,"Estevão, José Carlos","Silva, Franklin Leopoldo e",Sobre a liberdade em Guilherme de Ockhan,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1995,NA,FILOSOFIA|TEOLOGIA
712283,"Moura, Carlos Alberto Ribeiro de","Berlinck, Marilena de Souza Chaui",Critica da razao na fenomenologia,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1981,NA,NA
712284,"Monzani, Luiz Roberto","Berlinck, Marilena de Souza Chaui",Freud,o movimento de um pensamento,NA,NA,Tese (Doutorado),FILOSOFIA,1981,NA,NA
712808,"Bruzzi, Hygina Moreira","Arantes, Otilia Beatriz Fiori",Do visível ao tangível,em busca de um lugar pós-utópico,NA,NA,Tese (Doutorado),FILOSOFIA,1996,NA,"FILOSOFIA|ESTÉTICA|MERLEAU-PONTY, MAURICE"
713114,"Czapski, Alice Brill","Arantes, Otilia Beatriz Fiori",Aspectos da obra de mario zanini,do grupo santa helena as bienais,NA,NA,Dissertação (Mestrado),FILOSOFIA,1982,NA,NA
713586,"Pondé, Luiz Felipe","Silva, Franklin Leopoldo e",Crítica da inteligência em Bergson,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1993,NA,FILOSOFIA|FILOSOFIA CONTEMPORÂNEA|INTELIGÊNCIA
713808,"Benoit, Alcides Hector Rodriguez","Souza, José Cavalcante de",Procura provisoria da universalidade,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1982,NA,NA
714079,"Wellausen, Saly da Silva","Berlinck, Marilena de Souza Chaui",Presenca do positivismo na propaganda republicana,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1980,NA,NA
714437,"Ferraz Neto, Bento Prado de Almeida","Silva, Oswaldo Porchat de Assis Pereira da",Estrutura e gênese da teoria lockeana da abstração,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1996,NA,EPISTEMOLOGIA
714488,"Nascimento, Maria das Graças de Souza","Monteiro, João Paulo",Voltaire e o materialismo do século XVIII,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1983,NA,NA
714587,"Andrade, Rachel Gazolla de","Sousa, Jose Cavalcante de",O ofício do filósofo,um estudo sobre o estoicismo antigo,NA,NA,Dissertação (Mestrado),FILOSOFIA,1982,NA,ESTOICISMO
714589,"Avancini, José Augusto","Arantes, Otilia Beatriz Fiori",Pintura modernista e o problema da identidade cultural brasileira,"estudo comparativo da obra de tarsila, di cavalcanti e rego monteiro, 1911-33",NA,NA,Dissertação (Mestrado),FILOSOFIA,1982,NA,NA
715020,"Piozzi, Patrizia","Franco, Maria Sylvia de Carvalho",Ato livre,consideracoes a respeito da politica operaria,NA,NA,Dissertação (Mestrado),FILOSOFIA,1982,NA,NA
715197,"Kossovitch, Leon","Berlinck, Marilena de Souza Chaui",Condillac lucido e translucido,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1981,NA,NA
715201,"Moreno, Arley Ramos","Lacey, Hugh Matthew",Problema da significacao em wittgenstein,introducao a um estudo do tractatus,NA,NA,Dissertação (Mestrado),FILOSOFIA,1971,NA,NA
715209,"Epstein, Isaac",NA,A subdeterminacao das revolucoes cientificas,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1983,NA,NA
715354,"Kossovitch, Elisa Angotti","Knoll, Victor","Mario de andrade, plural",NA,NA,NA,Tese (Doutorado),FILOSOFIA,1983,NA,LITERATURA|ESTÉTICA
715607,"Carvalho, Alice Prado de","Arantes, Otilia Beatriz Fiori",Americanidade e espacialidade na pintura de jackon pollock,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1984,NA,NA
715621,"Oliveira, Maria Denise A Pereira de","Pinto, Edith Pimentel",Pontos cantos do ritual umbandista,subsidios para interpretacao,NA,NA,Dissertação (Mestrado),FILOSOFIA,1984,NA,NA
715622,"Ribeiro, Renato Janine","Fortes, Luiz Roberto Salinas",Ao leitor sem medo,hobbes escrevendo contra o seu tempo,NA,NA,Tese (Doutorado),FILOSOFIA,1983,NA,NA
715688,"Lins, Maria de Lourdes","Monteiro, João Paulo","Consciência, sociedade e participação no Estado segundo Rousseau",NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1983,NA,NA
715862,"Birman, Joel","Fortes, Luiz Roberto Salina",Pensamento freudiano e a constituicao do saber psicanalitico,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1984,NA,NA
716077,"Ribeiro, Adriano Machado","Kossovitch, Leon",Sobre o orador de Cícero,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1994,NA,FILOSOFIA|FILOSOFIA ANTIGA|RETÓRICA
716104,"Ajzenberg, Elza","Arantes, Otilia Beatriz Fiori",Vicente do rego monteiro,um mergulho no passado,NA,NA,Tese (Doutorado),FILOSOFIA,1984,NA,NA
716108,"Escobar, Antonius Jack Vargas","Franco, Maria Sylvia de Carvalho",Politica e poder,reflexoes sobre os anos vinte,NA,NA,Dissertação (Mestrado),FILOSOFIA,1984,NA,NA
716111,"Loureiro, Isabel Maria","Chauí, Marilena de Souza",Vanguarda socialista (1945-1948),um episodio de ecletismo na historia do marxismo brasileiro,NA,NA,Dissertação (Mestrado),FILOSOFIA,1984,NA,NA
716844,"Santana, Kleverton Bacelar","Marton, Scarlett",Ensaio sobre o vitalismo de Michel Foucault a Friedrich Nietzsche,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1996,NA,FILOSOFIA
717372,"Beaini, Thais Curi","Knoll, Victor",Arte como fruto das concepcoes epocais do ser,reconstituicao do enfoque heideggeriano,NA,NA,Tese (Doutorado),FILOSOFIA,1985,NA,NA
717373,"Carvalho, José Carlos de Paula","Coelho, Ruy Galvao de Andrada","Energia, simbolo e magia",uma contribuicao a antropologia do imaginario,NA,NA,Tese (Doutorado),FILOSOFIA,1985,NA,NA
717374,"Fortes, Luiz Roberto Salinas",NA,Paradoxo do espetaculo,NA,NA,NA,Tese (Livre Docência),FILOSOFIA,1983,NA,NA
717375,"Guidarini, Mario","Felício, Vera Lúcia Gonçalves",Dramaturgia de nelson rodrigues,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1985,NA,NA
717376,"Munari, Luiz Americo Souza","Arantes, Otilia Beatriz Fiori",Ismael Nery,pinturas e fabulas,NA,NA,Dissertação (Mestrado),FILOSOFIA,1985,NA,NA
717378,"Silveira, Ligia Fraga","Monteiro, João Paulo",Concepções médicas e morais na filosofia de Descartes,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1985,NA,NA
717548,"Barbosa, Elyana","Torres Filho, Rubens Rodrigues",Secreto do mundo (uma leitura de gaston bachelard),NA,NA,NA,Tese (Doutorado),FILOSOFIA,1985,NA,NA
717564,"Santos, Maria Cecília Loschiavo dos","Arantes, Otilia Beatriz Fiori",Movel moderno no brasil,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1985,NA,NA
717566,"Tartari, Theobaldo","Monteiro, João Paulo",Método experimental na filosofia de Hume,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1985,NA,NA
717922,"Beziau, Jean-Ives","Costa, Newton Carneiro Affonso da",Sobre a verdade lógica,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1996,NA,FILOSOFIA
718242,"Mariconda, Pablo Ruben","Monteiro, João Paulo",Teoria da ciência em Pierre Duhem,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1986,NA,NA
718243,"Matos, Olgária Chain Féres","Chauí, Marilena de Souza",Arcanos do inteiramente outro,"a Escola de Frankfurt, a melancolia, a revolução",NA,NA,Tese (Doutorado),FILOSOFIA,1986,NA,NA
718466,"Mendonça, Cristina Diniz","Arantes, Paulo Eduardo",Merleau-ponty,marxismo e filosofia,NA,NA,Dissertação (Mestrado),FILOSOFIA,1986,NA,NA
718467,"Miranda Filho, Mario","Knoll, Victor",Augusto comte e o mundo grego,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1986,NA,NA
718562,"Albieri, Sara","Monteiro, João Paulo",História e natureza humana em David Hume,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1986,NA,NA
718976,"Foot, Francisco","Franco, Maria Sylvia de Carvalho",Trem fantasma,espetaculos do maquinismo na transicao a modernidade,NA,NA,Tese (Doutorado),FILOSOFIA,1986,NA,NA
719541,"Nascimento, Milton Meira do","Matos, Luiz Fernando Franklin de","Opiniao publica, verdade e revolucao",aspectos do discurso politico na franca revolucionaria,NA,NA,Tese (Doutorado),FILOSOFIA,1986,NA,NA
719828,"Felício, Vera Lúcia Gonçalves",NA,Máscara,"processo de metamorfose, enigma do não-originário",NA,NA,Tese (Livre Docência),FILOSOFIA,1989,NA,FILOSOFIA
720092,"Avancini, José Augusto Costa","Arantes, Otilia Beatriz Fiori",Expressão plástica e consciência nacional na crítica de Mário de Andrade,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1992,NA,FILOSOFIA|FILOSOFIA MODERNA|CRÍTICA DE ARTE|ARTES PLÁSTICAS
720280,"Moraes, Reginaldo Carmello Correa de","Franco, Maria Sylvia de Carvalho",Planejamento,democracia ou ditadura? intelectuais e reformas socio-economicas no pos-guerra,NA,NA,Tese (Doutorado),FILOSOFIA,1987,NA,NA
720835,"Bruni, José Carlos","Chauí, Marilena de Souza",Poder e ordem social na obra de Auguste Comte,NA,NA,NA,Tese (Doutorado),FILOSOFIA,1989,NA,FILOSOFIA POLÍTICA
721506,"Lépine, Claude","Berlinck, Marilena de Souza Chaui",Inconsciente na antropologia de levi-strauss,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1972,NA,NA
721796,"Berlinck, Marilena de Souza Chaui",NA,Nervura do real espinosa e a questao da liberdade,NA,NA,NA,Tese (Livre Docência),FILOSOFIA,1977,NA,NA
721939,"Naffah Neto, Alfredo","Berlinck, Marilena de Souza Chaui","Criador, a criacao e a obra",um ensaio sobre j l moreno,NA,NA,Dissertação (Mestrado),FILOSOFIA,1977,NA,NA
722003,"Sterman, Manoel","Velloso, Arthur Versiani",Misticismo e a metafisica na doutrina de plotino,NA,NA,NA,Provimento de Cátedra,FILOSOFIA,1955,NA,NA
722029,"Monteiro, João Paulo","Silva, Oswaldo Porchat de Assis Pereira da","Teoria, retórica, ideologia",ensaio sobre a filosofia política de Hume,NA,NA,Tese (Doutorado),FILOSOFIA,1972,NA,NA
722030,"Fortes, Luiz Roberto Salinas","Franco, Maria Sylvia de Carvalho",Rousseau,da teoria a pratica,NA,NA,Tese (Doutorado),FILOSOFIA,1973,NA,NA
722031,"Arruda, Antonio Trajano Menezes","Silva, Oswaldo Porchat de Assis Pereira da",Epistemologia naturalizada de van orman quine,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1978,NA,NA
722032,"Beccari, Vera D'horta","Souza, Gilda de Mello e",Lasar segall,esboco de um retrato,NA,NA,Dissertação (Mestrado),FILOSOFIA,1979,NA,NA
722034,"Favaretto, Celso Fernando","Arantes, Otilia Beatriz Fiori",Tropicalia,"alegoria, alegria",NA,NA,Dissertação (Mestrado),FILOSOFIA,1978,NA,NA
722035,"Lopes, João Aloísio","Monteiro, João Paulo",Razão contra razão,a filosofia de Hobbes a partir das objeções a Descartes,NA,NA,Dissertação (Mestrado),FILOSOFIA,1978,NA,NA
722036,"Mariconda, Pablo Ruben","Silva, Oswaldo Porchat de Assis Pereira da",Teoria da ciencia e metodologia,a teoria do metodo na logica da investigacao cientifica de karl r. Popper,NA,NA,Dissertação (Mestrado),FILOSOFIA,1978,NA,NA
722037,"Matos, Luiz Fernando Franklin de","Arantes, Otilia Beatriz Fiori",Leitor quixotesco,o leitor de d quixote,NA,NA,Tese (Doutorado),FILOSOFIA,1979,NA,NA
722040,"Trevisan, Rubens Murillio","Monteiro, João Paulo",Teologia política de Rousseau,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1978,NA,NA
722041,"Berlinck, Marilena de Souza Chaui","Giannotti, José Arthur",Maurice Merleau-Ponty e a crítica ao humanismo,NA,NA,NA,Dissertação (Mestrado),FILOSOFIA,1967,NA,FILOSOFIA CONTEMPORÂNEA
